"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM785503" "EGR2" "BLOOD" "Macrophages" "91" "PRJNA145533_GSM785503_EGR2_peaks.narrowPeak" "Macrophage"
"GSM785504" "EGR2" "BLOOD" "Macrophages" "91" "PRJNA145533_GSM785504_EGR2_peaks.narrowPeak" "Macrophage"
"GSM776557" "TBX21" "BLOOD" "Th1 Cells" "92" "PRJNA146093_GSM776557_TBX21_peaks.narrowPeak" "Th1"
"GSM776558" "GATA3" "BLOOD" "Th1 Cells" "93" "PRJNA146093_GSM776558_GATA3_peaks.narrowPeak" "Th1"
"GSM776559" "GATA3" "BLOOD" "Th2 Cells" "94" "PRJNA146093_GSM776559_GATA3_peaks.narrowPeak" "Th2"
"GSM798383" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798383_ESR1_peaks.narrowPeak" "Tumor"
"GSM798384" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798384_ESR1_peaks.narrowPeak" "Tumor"
"GSM798386" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798386_ESR1_peaks.narrowPeak" "Tumor"
"GSM798387" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798387_ESR1_peaks.narrowPeak" "Tumor"
"GSM798388" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798388_ESR1_peaks.narrowPeak" "Tumor"
"GSM798389" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798389_ESR1_peaks.narrowPeak" "Tumor"
"GSM798390" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798390_ESR1_peaks.narrowPeak" "Tumor"
"GSM798391" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798391_ESR1_peaks.narrowPeak" "Tumor"
"GSM798394" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798394_ESR1_peaks.narrowPeak" "Tumor"
"GSM798395" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798395_ESR1_peaks.narrowPeak" "Tumor"
"GSM798396" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798396_ESR1_peaks.narrowPeak" "Tumor"
"GSM798397" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798397_ESR1_peaks.narrowPeak" "Tumor"
"GSM798398" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798398_ESR1_peaks.narrowPeak" "Tumor"
"GSM798399" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798399_ESR1_peaks.narrowPeak" "Tumor"
"GSM798400" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798400_ESR1_peaks.narrowPeak" "Tumor"
"GSM798401" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798401_ESR1_peaks.narrowPeak" "Tumor"
"GSM798402" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798402_ESR1_peaks.narrowPeak" "Tumor"
"GSM798403" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798403_ESR1_peaks.narrowPeak" "Tumor"
"GSM798404" "ESR1" "BREAST" "Tumour tissues" "95" "PRJNA147213_GSM798404_ESR1_peaks.narrowPeak" "Tumor"
"GSM798405" "ESR1" "BREAST" "NT2079" "96" "PRJNA147213_GSM798405_ESR1_peaks.narrowPeak" "Breast"
"GSM798423" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798423_ESR1_peaks.narrowPeak" "Breast"
"GSM798424" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798424_ESR1_peaks.narrowPeak" "Breast"
"GSM798425" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798425_ESR1_peaks.narrowPeak" "Breast"
"GSM798426" "ESR1" "BREAST" "ZR-75-1" "97" "PRJNA147213_GSM798426_ESR1_peaks.narrowPeak" "Breast"
"GSM798427" "ESR1" "BREAST" "ZR-75-1" "97" "PRJNA147213_GSM798427_ESR1_peaks.narrowPeak" "Breast"
"GSM798428" "ESR1" "BREAST" "T-47D" "16" "PRJNA147213_GSM798428_ESR1_peaks.narrowPeak" "Breast"
"GSM798429" "ESR1" "BREAST" "T-47D" "16" "PRJNA147213_GSM798429_ESR1_peaks.narrowPeak" "Breast"
"GSM798430" "ESR1" "BREAST" "BT-474" "98" "PRJNA147213_GSM798430_ESR1_peaks.narrowPeak" "Breast"
"GSM798431" "ESR1" "BREAST" "BT-474" "98" "PRJNA147213_GSM798431_ESR1_peaks.narrowPeak" "Breast"
"GSM798432" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798432_ESR1_peaks.narrowPeak" "Breast"
